Experiment,Level,Instance,Seed,N,NumTrucks_Set,NumDirectDrones_Set,NumCarDrones_Set,TruckSpeed_Set,DroneSpeed_Set,Cost,Time,Penalty,TruckService_Count,DirectService_Count,CarService_Count,AirService_Count,ActiveTruck_Count,ActiveDirect_Count,ActiveCar_Count,Runtime_s
TruckCount,T=8,r101.txt,4217,100,8,5,1,10.0,20.0,132.48736538406467,1840.0,3760.0,88,7,5,12,7,2,2,49.000046730041504
TruckCount,T=8,r101.txt,4218,100,8,5,1,10.0,20.0,154.31490754754537,1800.0,0.0,82,12,6,18,8,4,2,48.166457176208496
TruckCount,T=8,r101.txt,4219,100,8,5,1,10.0,20.0,134.98649855499474,1780.0,3874.08326913196,87,5,8,13,7,1,4,50.0197901725769
TruckCount,T=8,r101.txt,4220,100,8,5,1,10.0,20.0,145.13474517846907,1850.0,2480.0,91,7,2,9,8,2,1,50.86263275146485
TruckCount,T=8,r101.txt,4221,100,8,5,1,10.0,20.0,129.15043081201298,1970.0,6130.0,92,4,4,8,7,1,2,46.893229961395264
TruckCount,T=8,r101.txt,4222,100,8,5,1,10.0,20.0,161.07065867444507,1650.0,0.0,77,13,10,23,8,4,4,45.29165744781494
TruckCount,T=8,r101.txt,4223,100,8,5,1,10.0,20.0,116.60201452180893,1930.0,10395.117761011725,92,0,8,8,6,0,4,50.30970525741577
TruckCount,T=8,r101.txt,4224,100,8,5,1,10.0,20.0,141.5797459521473,1670.0,1330.0,83,11,6,17,7,4,3,47.30576300621033
TruckCount,T=8,r101.txt,4225,100,8,5,1,10.0,20.0,137.00041637724087,1770.0,1060.0,81,11,8,19,7,2,3,50.02982449531555
TruckCount,T=8,r101.txt,4226,100,8,5,1,10.0,20.0,132.41437394383436,1860.0,5305.901699437494,91,6,3,9,7,2,2,51.15395951271057
TruckCount,T=8,r101.txt,4227,100,8,5,1,10.0,20.0,135.57094909715238,1800.0,2337.728238015537,85,8,7,15,7,2,3,45.76944351196289
TruckCount,T=8,r101.txt,4228,100,8,5,1,10.0,20.0,145.19520113954542,1710.0,1110.0,82,9,9,18,7,3,5,51.078632831573486
TruckCount,T=8,r101.txt,4229,100,8,5,1,10.0,20.0,135.4710316448892,1800.0,1060.0,86,9,5,14,7,2,3,47.08587336540222
TruckCount,T=8,r101.txt,4230,100,8,5,1,10.0,20.0,133.66848556689106,1880.0,4838.292524058086,89,0,11,11,7,0,4,49.45312190055847
TruckCount,T=10,r101.txt,4201,100,10,5,1,10.0,20.0,174.2627039252489,1610.0,0.0,81,4,15,19,9,2,6,36.54728031158447
TruckCount,T=10,r101.txt,4202,100,10,5,1,10.0,20.0,191.8390600296482,1720.0,0.0,82,13,5,18,10,4,4,38.54747724533081
TruckCount,T=10,r101.txt,4203,100,10,5,1,10.0,20.0,179.9847467373271,1630.0,0.0,85,7,8,15,10,2,3,38.12994956970215
TruckCount,T=10,r101.txt,4204,100,10,5,1,10.0,20.0,181.76958414137368,1610.0,0.0,83,12,5,17,10,3,2,35.083229303359985
TruckCount,T=10,r101.txt,4205,100,10,5,1,10.0,20.0,177.12668496029335,1830.0,0.0,90,8,2,10,10,3,1,40.31082773208618
TruckCount,T=10,r101.txt,4206,100,10,5,1,10.0,20.0,183.3498731941122,1650.0,0.0,81,12,7,19,10,3,3,40.2638635635376
TruckCount,T=10,r101.txt,4207,100,10,5,1,10.0,20.0,181.4149671883795,1650.0,0.0,83,11,6,17,10,3,2,37.437026023864746
TruckCount,T=10,r101.txt,4208,100,10,5,1,10.0,20.0,182.9527444472957,1720.0,0.0,84,9,7,16,10,3,3,39.22541880607605
TruckCount,T=10,r101.txt,4209,100,10,5,1,10.0,20.0,182.4126426515687,1690.0,0.0,85,8,7,15,10,3,2,38.08847570419312
TruckCount,T=10,r101.txt,4210,100,10,5,1,10.0,20.0,188.44621571830413,1640.0,0.0,80,13,7,20,10,3,4,37.97425842285156
TruckCount,T=10,r101.txt,4211,100,10,5,1,10.0,20.0,181.60811169883067,1640.0,0.0,84,9,7,16,10,2,3,37.426398515701294
TruckCount,T=10,r101.txt,4212,100,10,5,1,10.0,20.0,180.44965541080475,1540.0,0.0,84,10,6,16,10,2,3,35.78104591369629
TruckCount,T=10,r101.txt,4213,100,10,5,1,10.0,20.0,169.6377652050657,1640.0,0.0,79,10,11,21,9,2,4,39.41324758529663
TruckCount,T=10,r101.txt,4214,100,10,5,1,10.0,20.0,182.2281305108962,1550.0,0.0,85,4,11,15,10,2,4,36.97228455543518
TruckCount,T=10,r101.txt,4215,100,10,5,1,10.0,20.0,180.2625143800692,1640.0,0.0,86,7,7,14,10,2,3,34.37996435165405
TruckCount,T=10,r101.txt,4216,100,10,5,1,10.0,20.0,179.5171988384741,1570.0,0.0,86,8,6,14,10,2,3,41.03407979011536
TruckCount,T=10,r101.txt,4217,100,10,5,1,10.0,20.0,179.99452849619817,1430.0,0.0,83,9,8,17,10,2,3,36.54805374145508
TruckCount,T=10,r101.txt,4218,100,10,5,1,10.0,20.0,186.44081802563147,1570.0,0.0,82,9,9,18,10,3,4,35.80629372596741
TruckCount,T=10,r101.txt,4219,100,10,5,1,10.0,20.0,185.3524166676748,1720.0,0.0,88,6,6,12,10,3,3,37.787686586380005
TruckCount,T=10,r101.txt,4220,100,10,5,1,10.0,20.0,167.95357235781017,1580.0,0.0,79,10,11,21,9,2,4,38.921303033828735
TruckCount,T=10,r101.txt,4221,100,10,5,1,10.0,20.0,171.3749720302285,1740.0,0.0,83,13,4,17,9,4,2,39.56533908843994
TruckCount,T=10,r101.txt,4222,100,10,5,1,10.0,20.0,182.9382629757672,1650.0,0.0,85,12,3,15,10,3,2,38.31374931335449
