N,Run,Algorithm,Version,FrontType,PenaltyCap,Pareto_Count,HV,RunTime_s,Conv_Gen,Cost_Min,Cost_Mean,Cost_Max,Time_Min,Time_Mean,Time_Max,Pen_Min,Pen_Mean,Pen_Max,TruckService_Avg,DirectService_Avg,CarService_Avg,AirService_Avg,ActiveTruck_Avg,ActiveDirect_Avg,ActiveCar_Avg,PureTruck_Ratio,ZeroPenalty_Count,ZeroPenalty_Ratio,ZeroPenaltyTime_Best,ZeroPenaltyCost_Best
100,4202,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,12,4360823753424.658,9.118881,100,100.150685,140.728311,175.958904,1520.0,1727.5,2130.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.666667,0.0,0.0,1.0,12,1.0,1520.0,100.150685
100,4203,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4350199904109.59,8.575091,100,102.287671,123.455969,176.739726,1520.0,1949.285714,2350.0,0.0,0.0,0.0,99.857143,0.071429,0.071429,0.142857,7.428571,0.071429,0.071429,0.857143,14,1.0,1520.0,102.287671
100,4204,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,19,4342435230643.836,10.839101,100,103.726027,142.523432,190.726027,1520.0,1918.421053,2750.0,0.0,13.684211,100.0,100.0,0.0,0.0,0.0,8.736842,0.0,0.0,1.0,15,0.789474,1520.0,105.69863
100,4205,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,23,4345911456097.2593,10.466503,100,102.90411,120.6081,177.068493,1530.0,2348.695652,2850.0,0.0,7.826087,60.0,100.0,0.0,0.0,0.0,7.086957,0.0,0.0,1.0,18,0.782609,1530.0,103.931507
100,4206,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,19,4359636309382.842,8.770974,100,101.342466,142.777918,201.758743,1460.0,1750.0,2170.0,0.0,0.0,0.0,98.894737,0.157895,0.947368,1.105263,8.684211,0.157895,0.789474,0.368421,19,1.0,1460.0,101.342466
100,4207,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4401931670109.766,9.994484,100,91.350997,124.699738,178.517302,1530.0,1952.142857,3160.0,0.0,3.571429,50.0,99.571429,0.071429,0.357143,0.428571,7.5,0.071429,0.357143,0.571429,13,0.928571,1530.0,92.41949
100,4208,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,16,4288962285350.445,6.989536,100,115.123288,137.273953,161.561644,1520.0,1723.125,1980.0,0.0,0.0,0.0,99.625,0.3125,0.0625,0.375,8.4375,0.25,0.0625,0.6875,16,1.0,1520.0,115.123288
100,4209,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,10,4344993736904.839,9.672509,100,103.191781,129.701478,176.205479,1530.0,1786.0,2340.0,0.0,1.0,10.0,99.8,0.1,0.1,0.2,7.9,0.1,0.1,0.8,9,0.9,1530.0,115.410959
100,4210,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,23,4341407303562.804,7.037012,100,104.219178,123.708003,162.547945,1520.0,1816.521739,2700.0,0.0,0.0,0.0,99.695652,0.26087,0.043478,0.304348,7.521739,0.130435,0.043478,0.826087,23,1.0,1520.0,104.219178
100,4211,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,16,4355033021436.4727,10.316177,100,101.342466,122.835387,176.082192,1520.0,1960.625,2460.0,0.0,3.125,50.0,99.9375,0.0,0.0625,0.0625,7.375,0.0,0.0625,0.9375,15,0.9375,1520.0,101.342466
